"xtn"	"04374"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Ñumí, Monte Verde"
"xtn"	"06498"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Sebastian Nicananduta"
"xtn"	"04731"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del norte de Tlaxiaco"
"xtp"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Miguel Piedras"
"xts"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Sindihui"
"xtt"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Tacahua"
"xtu"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Cuyamecalco"
"xty"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Yoloxochitl"
"klb"	"00000"	"yumana"	"Kiliwa"	"[variant language]"	"Kiliwi"
"knj"	"00000"	"maya"	"Akateko"	"[variant language]"	"Kanjobal del Oeste"
"lac"	"00000"	"maya"	"Lacandón"	"[variant language]"	"Lacandón de Lacanjá"
"maa"	"19386"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de Eloxochitlán de Flores Magón"
"maa"	"19452"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de San Jerónimo"
"maj"	"00000"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de Jalapa de Díaz"
"maq"	"00000"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de San Juan Chiquihuitlán"
"mau"	"00041"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de Huautla"
"mau"	"21145"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de Sta María Asunción"
"mzi"	"00000"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de San Pedro Ixcatlán"
"vmp"	"00000"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de San Miguel Soyaltepec"
"vmy"	"00000"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de Ayautla"
"vmz"	"00000"	"popoloca"	"Mazateco"	"[variant language]"	"Mazateco de Mazatlán"
"mam"	"04797"	"maya"	"Mam"	"[variant language]"	"Mam Comitancillo"
"mam"	"03470"	"maya"	"Mam"	"[variant language]"	"Mam de Todos Santos"
"mam"	"02116"	"maya"	"Mam"	"[variant language]"	"Mam del Norte"
"mam"	"02773"	"maya"	"Mam"	"[variant language]"	"Tacaneco"
"ttc"	"00000"	"maya"	"Mam"	"[variant language]"	"Tectiteco"
"mat"	"00000"	"otopame"	"Matlatzinca"	"[variant language]"	"Matlatzinca de San Francisco de los Ranchos"
"ocu"	"00000"	"otopame"	"Matlatzinca"	"[variant language]"	"Matlatzinca de Atzingo"
"maz"	"00000"	"otopame"	"Mazahua"	"[variant language]"	"Mazahua del Estado de México"
"mmc"	"00000"	"otopame"	"Mazahua"	"[variant language]"	"Mazahua de Michoacán"
"mco"	"00000"	"mixe"	"Mixe"	"[variant language]"	"Mixe de Coatlán"
"mir"	"00000"	"mixe"	"Mixe"	"[variant language]"	"Mixe del Istmo (del Istmo, Guichicovi)"
"mto"	"00000"	"mixe"	"Mixe"	"[variant language]"	"Mixe de Totontepec"
"mxp"	"04819"	"mixe"	"Mixe"	"[variant language]"	"Mixe de Tlahuitoltepec"
"mxq"	"00000"	"mixe"	"Mixe"	"[variant language]"	"Mixe de Juquila"
"mzl"	"00000"	"mixe"	"Mixe"	"[variant language]"	"Mixe de Mazatlán"
